model,degradation,level,variant,n,accuracy,balanced_acc,f1_macro,kappa_qw,acc_ci_lo,acc_ci_hi,kappa_ci_lo,kappa_ci_hi,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4
resnet50,blur,high,ddpm_path,440,0.47045454545454546,0.2019703528794438,0.14686431378553566,0.06145169915892856,0.425,0.5136363636363637,-0.012105425418042114,0.1429574296823926,0.9444444444444444,0.0,0.008264462809917356,0.0,0.05714285714285714
resnet50,exposure,low,raw,440,0.7522727272727273,0.4884394481232426,0.502544946187325,0.8067664281067013,0.7136363636363636,0.7909090909090909,0.7569305995847685,0.8483133859689503,1.0,0.08888888888888889,0.7520661157024794,0.08695652173913043,0.5142857142857142
resnet50,exposure,low,clahe,440,0.7272727272727273,0.46270428736831903,0.490752703389461,0.7004855540950183,0.6886363636363636,0.7681818181818182,0.6322843861625753,0.7695457205048084,1.0,0.022222222222222223,0.7024793388429752,0.21739130434782608,0.37142857142857144
resnet50,exposure,low,genai,440,0.6613636363636364,0.3853295233532387,0.39324590997227143,0.6333818278005556,0.6181818181818182,0.7023295454545454,0.5647342243473001,0.7017905460445745,1.0,0.044444444444444446,0.49586776859504134,0.043478260869565216,0.34285714285714286
resnet50,exposure,low,cold_diff,440,0.6636363636363637,0.3771481044208317,0.3782046681486186,0.6136075008781647,0.6204545454545455,0.7068749999999999,0.5368895234503263,0.6867530352277613,1.0,0.022222222222222223,0.5206611570247934,0.0,0.34285714285714286
resnet50,exposure,low,swinir_gan,440,0.5431818181818182,0.36093379684288773,0.2895612272738547,0.48158346302725563,0.49772727272727274,0.5886363636363636,0.4119437246403499,0.5465668293168076,0.8379629629629629,0.0,0.2809917355371901,0.0,0.6857142857142857
resnet50,exposure,low,ddpm,440,0.08636363636363636,0.1671649394376667,0.06966284830020464,-0.025406811445163546,0.06136363636363636,0.1159090909090909,-0.07980393408687772,0.023622475866760206,0.004629629629629629,0.2222222222222222,0.06611570247933884,0.0,0.5428571428571428
resnet50,exposure,low,ddpm_path,440,0.6068181818181818,0.3073960383051292,0.2961944843310655,0.4723325903672836,0.5635795454545455,0.65,0.3932508043686445,0.545149377167604,1.0,0.022222222222222223,0.371900826446281,0.0,0.14285714285714285
resnet50,exposure,mid,raw,440,0.7181818181818181,0.46491590096333174,0.4822188626646831,0.7435335943940643,0.6795454545454546,0.759090909090909,0.6803755775592077,0.7989725635734682,1.0,0.06666666666666667,0.628099173553719,0.08695652173913043,0.5428571428571428
resnet50,exposure,mid,clahe,440,0.6795454545454546,0.42628201837687996,0.4499965385946695,0.6288449466415569,0.6363636363636364,0.7227272727272728,0.5526225439866493,0.7060024184353879,1.0,0.0,0.5289256198347108,0.17391304347826086,0.42857142857142855
resnet50,exposure,mid,genai,440,0.6090909090909091,0.33620884166338716,0.3376427689868105,0.49554718387667895,0.5636363636363636,0.65,0.4053571598974745,0.5761212322739764,1.0,0.044444444444444446,0.32231404958677684,0.0,0.3142857142857143
resnet50,exposure,mid,cold_diff,440,0.6590909090909091,0.375112160566706,0.37300341191776015,0.6201210044439684,0.615909090909091,0.7,0.5394261161546129,0.6953520731216312,1.0,0.0,0.5041322314049587,0.0,0.37142857142857144
resnet50,exposure,mid,swinir_gan,440,0.6113636363636363,0.41295378022650747,0.32982133271988345,0.6511115816218505,0.5659090909090909,0.6522727272727272,0.5962086680258251,0.7043366966314948,0.9259259259259259,0.0,0.33884297520661155,0.0,0.8
resnet50,exposure,mid,ddpm,440,0.10681818181818181,0.2104315886134068,0.0878895399525557,7.370464093559015e-05,0.07954545454545454,0.13636363636363635,-0.05059521688240608,0.04761135413707071,0.0,0.37777777777777777,0.0743801652892562,0.0,0.6
resnet50,exposure,mid,ddpm_path,440,0.6045454545454545,0.31792732520005246,0.3115046300656057,0.45543103103636684,0.5613636363636364,0.6454545454545455,0.3673032063609875,0.5367097455614653,1.0,0.022222222222222223,0.33884297520661155,0.0,0.22857142857142856
resnet50,exposure,high,raw,440,0.625,0.37398101093753267,0.37576091648001875,0.5090510148107515,0.5795454545454546,0.6704545454545454,0.4186660689644588,0.5934922532171297,0.9907407407407407,0.0,0.36363636363636365,0.08695652173913043,0.42857142857142855
resnet50,exposure,high,clahe,440,0.6545454545454545,0.44046519210550833,0.41239340139511416,0.5897065516354355,0.6068181818181818,0.6977272727272728,0.5139120023780537,0.6617612344958823,0.9490740740740741,0.0,0.4793388429752066,0.17391304347826086,0.6
